Date/Time,Word Count,en,zh,zh-Hans
2024.07.29-20.38.35,255,0,255,0
2024.07.29-20.41.27,255,255,255,0
2024.07.31-18.05.30,324,255,324,0
2024.08.02-16.26.54,364,157,364,0
2024.08.02-16.29.56,364,329,364,0
2024.08.02-19.18.36,392,329,392,0
2024.08.02-19.21.54,392,357,392,0
2024.08.02-19.41.18,399,357,399,0
2024.08.02-19.42.19,399,399,399,0
2024.08.05-20.21.26,337,326,337,0
2024.08.07-18.06.08,342,333,342,0
2024.08.07-18.07.00,342,342,342,0
2024.08.08-16.31.18,350,329,350,0
2024.08.08-17.06.27,350,350,350,0
2024.08.08-17.53.45,360,350,360,0
2024.08.08-17.56.31,360,360,360,0
2024.08.08-18.48.44,355,349,355,0
2024.08.08-18.50.04,355,352,355,0
2024.08.08-19.06.47,348,331,348,0
2024.08.08-19.42.07,376,331,376,0
2024.08.08-19.45.00,376,367,376,0
2024.08.08-19.47.27,376,376,376,0
2024.08.08-20.09.40,381,376,381,0
2024.08.08-20.22.20,381,381,381,0
2024.08.13-11.09.18,395,381,395,0
2024.08.13-11.10.53,395,395,395,0
2024.08.13-14.43.55,408,395,408,0
2024.08.13-15.09.19,409,408,409,0
2024.08.13-19.21.45,407,395,407,0
2024.08.13-19.23.27,407,407,407,0
2024.08.13-20.01.23,409,401,409,0
2024.08.13-20.02.34,409,409,409,0
2024.08.14-11.14.36,412,405,412,0
2024.08.14-11.17.05,412,412,412,0
2024.08.14-11.50.08,430,401,430,0
2024.08.14-11.59.32,417,401,417,0
2024.08.14-12.01.30,416,416,416,0
2024.08.14-12.02.25,415,401,415,0
2024.08.14-12.03.18,415,415,415,0
2024.08.14-13.41.23,423,398,423,0
2024.08.14-13.43.06,423,423,423,0
2024.08.14-14.46.15,425,423,425,0
2024.08.14-14.47.03,425,425,425,0
2024.08.14-18.08.02,445,425,445,0
2024.08.14-18.10.23,438,438,438,0
2024.08.22-20.24.57,821,395,821,0
2024.08.22-20.30.14,821,813,821,0
2024.08.22-20.31.22,821,821,821,0
2024.08.27-10.34.53,817,803,817,0
2024.08.27-10.41.04,817,817,817,0
2024.08.27-20.11.44,839,776,839,0
2024.08.27-20.15.11,839,837,839,0
2024.08.29-12.07.04,914,832,914,0
2024.08.29-12.09.28,914,914,914,0
2024.08.29-16.10.36,919,914,919,0
2024.08.29-16.11.17,919,919,919,0
2024.08.30-20.21.56,922,919,922,0
2024.08.30-20.22.30,922,922,922,0
2024.09.03-15.43.34,943,922,943,0
2024.09.03-15.46.22,943,943,943,0
2024.09.04-15.16.00,949,943,949,0
2024.09.04-15.22.49,949,949,949,0
2024.09.04-19.20.49,991,949,991,0
2024.09.04-19.28.42,991,989,991,0
2024.09.11-18.01.11,1086,972,1086,0
2024.09.11-18.03.54,1086,1086,1086,0
2024.09.11-19.19.48,1116,1086,1116,0
2024.09.11-19.20.53,1116,1116,1116,0
2024.09.11-19.23.09,1105,1069,1105,0
2024.09.11-19.23.51,1105,1105,1105,0
2024.09.13-19.58.57,1161,1092,1161,0
2024.09.13-20.00.53,1161,1161,1161,0
2024.09.19-14.52.37,1207,1058,1207,0
2024.09.19-14.54.17,1207,1207,1207,0
2024.09.20-20.20.47,1300,1059,1300,0
2024.09.20-20.27.37,1300,1300,1300,0
2024.09.21-11.01.45,1318,1280,1318,0
2024.09.21-11.02.23,1318,1318,1318,0
2024.09.23-15.16.51,1470,1318,1470,0
2024.09.23-15.22.07,1470,1470,1470,0
2024.09.23-19.44.40,1321,1296,1321,0
2024.09.23-19.50.45,1321,1321,1321,0
2024.09.24-20.20.08,1352,1317,1352,0
2024.09.24-20.21.17,1352,1352,1352,0
2024.09.25-20.02.31,1429,1273,1429,0
2024.09.25-20.03.32,1429,1403,1429,0
2024.09.25-20.04.26,1429,1416,1429,0
2024.09.25-20.04.54,1429,1429,1429,0
2024.09.26-11.05.41,1434,1429,1434,0
2024.09.26-11.18.38,1434,1434,1434,0
2024.09.26-20.30.28,1645,1434,1645,0
2024.09.27-11.28.45,1645,1645,1645,0
2024.09.29-15.00.44,1646,1642,1646,0
2024.09.29-15.01.16,1646,1646,1646,0
2024.09.29-19.35.24,1651,1638,1651,0
2024.09.29-20.00.25,1651,1651,1651,0
2024.09.29-23.34.26,1670,1651,1670,0
2024.09.29-23.36.02,1670,1670,1670,0
2024.09.30-19.54.13,1683,1667,1683,0
2024.09.30-19.55.15,1683,1683,1683,0
2024.10.01-13.50.14,1688,1680,1688,0
2024.10.01-13.56.38,1688,1688,1688,0
2024.10.03-18.01.05,1704,1665,1704,0
2024.10.03-18.03.45,1704,1688,1704,0
2024.10.03-18.04.41,1704,1704,1704,0
2024.10.03-18.06.27,1471,1471,1471,0
2024.10.11-19.16.23,1486,1469,1486,0
2024.10.11-19.18.49,1486,1486,1486,0
2024.10.12-16.32.52,1256,1256,1256,0
2024.10.12-17.27.04,1262,1256,1262,0
2024.10.12-17.33.16,1262,1262,1262,0
2024.10.12-17.41.15,1276,1262,1276,0
2024.10.12-17.42.46,1276,1276,1276,0
2024.10.17-17.02.17,1504,1264,1504,0
2024.10.17-17.06.21,1504,1504,1504,0
2024.10.18-16.03.59,1508,1490,1508,0
2024.10.18-16.10.07,1508,1467,1508,0
2024.10.18-16.16.22,1510,1498,1510,0
2024.10.18-16.16.45,1510,1510,1510,0
2024.10.29-14.47.26,1743,1504,0,1743
2024.10.29-14.49.10,1744,1504,0,1744
2024.10.29-14.54.06,1744,1705,0,1744
2024.10.29-18.20.32,1763,1703,0,1763
2024.10.29-18.21.14,1763,1710,0,1763
2024.10.30-15.59.30,1876,1683,0,1876
2024.10.30-16.02.22,1876,1745,0,1876
2024.10.30-16.02.49,1879,1745,0,1879
2024.10.30-16.04.28,1879,1778,0,1879
2024.10.30-16.10.46,1876,1771,0,1876
2024.10.30-16.12.43,1876,1775,0,1876
2024.10.31-20.19.49,1754,1671,0,1754
2024.10.31-20.23.46,1754,1684,0,1754
2024.10.31-20.24.46,1751,1677,0,1751
2024.11.02-01.02.23,1844,1684,0,1844
2024.11.02-01.03.09,1844,1688,0,1844
2024.11.02-01.03.43,1841,1681,0,1841
2024.11.02-01.05.58,1841,1734,0,1841
2024.11.02-01.06.52,1841,1771,0,1841
2024.11.04-11.20.43,1863,1760,0,1863
2024.11.04-11.25.48,1864,1760,0,1864
2024.11.04-11.27.55,1864,1794,0,1864
2024.11.04-11.31.32,1830,1787,0,1830
2024.11.04-16.15.13,1828,1785,0,1828
2024.11.04-16.39.36,1828,1789,0,1828
2024.11.04-16.40.47,1828,1774,0,1828
2024.11.04-16.41.57,1828,1789,0,1828
2024.11.04-16.44.03,1828,1789,0,1828
